analysis_scope,primary_component_index,primary_component_fingerprint,feature_name,registry_family,registry_schema_version,registry_sha256,contribution_sum,contribution_ratio,contribution_mean,contribution_median,top1_count,top1_ratio,top5_count,top5_ratio,rank
primary-component-0-ood-exceedances,0,39e3bacf11776871a5ff8111,volume_cv_3d,volume,btc-chart-regime-ohlcv-3d-v1,2a0162172270711896d9713fda1b9ec1868f0efebec1b0a4fd7bb5b7ae4a2f18,86.922459453867887,0.067445044482843441,3.6217691439111621,1.5556542080382456,3,0.125,9,0.375,1
primary-component-0-ood-exceedances,0,39e3bacf11776871a5ff8111,rv_ratio_1d_3d,volatility,btc-chart-regime-ohlcv-3d-v1,2a0162172270711896d9713fda1b9ec1868f0efebec1b0a4fd7bb5b7ae4a2f18,82.867148870984707,0.06429843997610532,3.4527978696243626,3.2451242688787847,2,0.083333333333333329,12,0.5,2
primary-component-0-ood-exceedances,0,39e3bacf11776871a5ff8111,volume_ratio_1d_3d,volume,btc-chart-regime-ohlcv-3d-v1,2a0162172270711896d9713fda1b9ec1868f0efebec1b0a4fd7bb5b7ae4a2f18,81.770167146772408,0.063447267774453225,3.4070902977821835,2.6464308688093654,2,0.083333333333333329,9,0.375,3
primary-component-0-ood-exceedances,0,39e3bacf11776871a5ff8111,directional_efficiency_3d,path,btc-chart-regime-ohlcv-3d-v1,2a0162172270711896d9713fda1b9ec1868f0efebec1b0a4fd7bb5b7ae4a2f18,76.143309774730696,0.0590812656141326,3.1726379072804458,1.950732757123518,1,0.041666666666666664,8,0.33333333333333331,4
primary-component-0-ood-exceedances,0,39e3bacf11776871a5ff8111,max_runup_3d,excursion,btc-chart-regime-ohlcv-3d-v1,2a0162172270711896d9713fda1b9ec1868f0efebec1b0a4fd7bb5b7ae4a2f18,64.452429682648884,0.050010055102969818,2.6855179034437033,1.4441035572018657,2,0.083333333333333329,7,0.29166666666666669,5
primary-component-0-ood-exceedances,0,39e3bacf11776871a5ff8111,mean_lower_wick_ratio_3d,structure,btc-chart-regime-ohlcv-3d-v1,2a0162172270711896d9713fda1b9ec1868f0efebec1b0a4fd7bb5b7ae4a2f18,61.34380197142999,0.04759800261870905,2.5559917488095829,1.3046235014060841,1,0.041666666666666664,6,0.25,6
primary-component-0-ood-exceedances,0,39e3bacf11776871a5ff8111,breakout_rate_3d,structure,btc-chart-regime-ohlcv-3d-v1,2a0162172270711896d9713fda1b9ec1868f0efebec1b0a4fd7bb5b7ae4a2f18,57.666533641550281,0.044744729395167604,2.402772235064595,1.466983807846111,2,0.083333333333333329,3,0.125,7
primary-component-0-ood-exceedances,0,39e3bacf11776871a5ff8111,mean_body_ratio_3d,structure,btc-chart-regime-ohlcv-3d-v1,2a0162172270711896d9713fda1b9ec1868f0efebec1b0a4fd7bb5b7ae4a2f18,56.352698315815466,0.043725295723547386,2.348029096492311,1.0149204494595552,1,0.041666666666666664,6,0.25,8
primary-component-0-ood-exceedances,0,39e3bacf11776871a5ff8111,rv_4h,volatility,btc-chart-regime-ohlcv-3d-v1,2a0162172270711896d9713fda1b9ec1868f0efebec1b0a4fd7bb5b7ae4a2f18,55.997232301618077,0.043449481839652332,2.33321801256742,1.1347829985588656,2,0.083333333333333329,3,0.125,9
primary-component-0-ood-exceedances,0,39e3bacf11776871a5ff8111,rv_1d,volatility,btc-chart-regime-ohlcv-3d-v1,2a0162172270711896d9713fda1b9ec1868f0efebec1b0a4fd7bb5b7ae4a2f18,53.729412087129624,0.041689830350195321,2.238725503630401,1.2125133928398877,0,0,6,0.25,10
primary-component-0-ood-exceedances,0,39e3bacf11776871a5ff8111,return_autocorr_3d,reversal,btc-chart-regime-ohlcv-3d-v1,2a0162172270711896d9713fda1b9ec1868f0efebec1b0a4fd7bb5b7ae4a2f18,53.370065617519835,0.041411005535758869,2.2237527340633263,0.97564308946133593,2,0.083333333333333329,5,0.20833333333333334,11
primary-component-0-ood-exceedances,0,39e3bacf11776871a5ff8111,return_3d,returns,btc-chart-regime-ohlcv-3d-v1,2a0162172270711896d9713fda1b9ec1868f0efebec1b0a4fd7bb5b7ae4a2f18,50.595530970364379,0.039258183194187821,2.1081471237651823,1.2711407250592686,0,0,6,0.25,12
primary-component-0-ood-exceedances,0,39e3bacf11776871a5ff8111,directional_efficiency_1d,path,btc-chart-regime-ohlcv-3d-v1,2a0162172270711896d9713fda1b9ec1868f0efebec1b0a4fd7bb5b7ae4a2f18,48.970328092942417,0.037997152603819591,2.040430337205934,0.97278809625197549,1,0.041666666666666664,5,0.20833333333333334,13
primary-component-0-ood-exceedances,0,39e3bacf11776871a5ff8111,return_2d,returns,btc-chart-regime-ohlcv-3d-v1,2a0162172270711896d9713fda1b9ec1868f0efebec1b0a4fd7bb5b7ae4a2f18,44.774360716299562,0.034741409402990912,1.8655983631791484,1.4289401526440055,0,0,3,0.125,14
primary-component-0-ood-exceedances,0,39e3bacf11776871a5ff8111,max_drawdown_3d,excursion,btc-chart-regime-ohlcv-3d-v1,2a0162172270711896d9713fda1b9ec1868f0efebec1b0a4fd7bb5b7ae4a2f18,44.611565114962971,0.034615092722092289,1.8588152131234572,0.92073846231407741,1,0.041666666666666664,5,0.20833333333333334,15
primary-component-0-ood-exceedances,0,39e3bacf11776871a5ff8111,range_ratio_3d,range,btc-chart-regime-ohlcv-3d-v1,2a0162172270711896d9713fda1b9ec1868f0efebec1b0a4fd7bb5b7ae4a2f18,44.459854783700408,0.034497377345596977,1.8524939493208503,1.0471685507553414,0,0,2,0.083333333333333329,16
primary-component-0-ood-exceedances,0,39e3bacf11776871a5ff8111,return_autocorr_1d,reversal,btc-chart-regime-ohlcv-3d-v1,2a0162172270711896d9713fda1b9ec1868f0efebec1b0a4fd7bb5b7ae4a2f18,43.96836831338122,0.034116022203765237,1.8320153463908841,1.4981789969544963,1,0.041666666666666664,2,0.083333333333333329,17
primary-component-0-ood-exceedances,0,39e3bacf11776871a5ff8111,rv_3d,volatility,btc-chart-regime-ohlcv-3d-v1,2a0162172270711896d9713fda1b9ec1868f0efebec1b0a4fd7bb5b7ae4a2f18,42.317552798048482,0.032835118205372563,1.7632313665853534,0.75516933102345374,2,0.083333333333333329,3,0.125,18
