record_type,sample_scope,spacing_days,offset,offset_origin_anchor,half_label,primary_component_index,primary_component_fingerprint,half_component_index,half_component_fingerprint,sample_count,sample_share,centroid_status,metric_name,empirical_centroid,distance,ood_numerator,ood_denominator,ood_rate,distance_source,threshold_source,maximum_drift_half_label,maximum_drift_primary_component_index,maximum_drift_primary_component_fingerprint,maximum_drift_half_component_index,maximum_drift_half_component_fingerprint,maximum_ood_primary_component_index,maximum_ood_primary_component_fingerprint,top_five_drift_features,drift_component_matches_full_sample,ood_component_matches_full_sample,ordered_top5_matches_full_sample,top5_set_matches_full_sample
centroid,full_sample,,,2021-01-01T00:00:00Z,A,0,39e3bacf11776871a5ff8111,3,a40802651dda625eef950cfd,204,0.24878048780487805,computed,full_sample_empirical_centroid_distance,-0.53405414777614513;-0.66223478978721484;-0.7310477842740799;-0.85292184761307321;-0.80591823927941386;0.55940452617253744;0.562563758481335;0.47532436813712486;0.16500008127111632;0.47095431955670158;-0.65369275368342716;0.25780518457003643;0.28246519671826092;-0.15163574390329568;-0.13461138311536;0.13793331557487848;0.13127617321027688;-0.86904210480651711;-0.041680927077286642;0.063725490196078385;-0.1773989141241373;-0.0059543439283356149;0.25850701954427113;-0.28422260816876604;0.17406538352155079,0.86647198846527163,,,,,,B,3,e37692350fa4ad4230e3336e,1,79a3672f5b2e02b1cc6b62e6,0,39e3bacf11776871a5ff8111,,,,,
centroid,full_sample,,,2021-01-01T00:00:00Z,A,1,b03e2a19935047396af5f0d5,0,15d3fc436752e80fbf377325,238,0.29024390243902437,computed,full_sample_empirical_centroid_distance,-0.022593321336351092;-0.043459759012921241;-0.022815360950733332;-0.037681397857813145;-0.049281776571580359;-0.21136461802801093;-0.31947662841695906;-0.25938890081852556;-0.14520178094691794;-0.36972786416962383;-0.095220648346508119;-0.036956626340910355;-0.23447509970215416;0.22810681756086174;0.31879996903844426;-0.14464641103538647;-0.17842738675942435;0.19330950561463212;-0.26571006474269054;-0.49474789915966383;-0.34722109856904915;0.21682001124695754;0.24120373612228715;-0.051545133610433579;-0.074634468913443414,0.75721265132792615,,,,,,B,3,e37692350fa4ad4230e3336e,1,79a3672f5b2e02b1cc6b62e6,0,39e3bacf11776871a5ff8111,,,,,
centroid,full_sample,,,2021-01-01T00:00:00Z,A,2,dddf565fe433ec33a8d07106,1,3de9bb954a2c15cb4492c426,252,0.3073170731707317,computed,full_sample_empirical_centroid_distance,0.43255467622789262;0.6834515287739682;0.81472526280269586;0.91717473927551929;0.93023361360106771;0.50493962276920101;0.53979862305132842;0.5839466146304666;0.031026149686313353;0.55260333736775036;0.52632445711730225;0.31090290332989978;0.41538526900719763;-0.026184708788395;-0.07680742348623279;0.19113780842362868;0.17297855611982099;-0.071609913847177561;1.0405577628560241;0.23412698412698404;-0.17377119738689575;0.32628874544282249;-0.058539947024580624;-0.39722968639453826;0.050049618390736489,1.1107065000857654,,,,,,B,3,e37692350fa4ad4230e3336e,1,79a3672f5b2e02b1cc6b62e6,0,39e3bacf11776871a5ff8111,,,,,
centroid,full_sample,,,2021-01-01T00:00:00Z,A,3,e37692350fa4ad4230e3336e,2,5ae28957385af58ebee4cf8e,126,0.15365853658536585,computed,full_sample_empirical_centroid_distance,0.080676353272315662;-0.14665424064495039;-0.26617936800196557;-0.36983201281896633;-0.49740876318259719;2.3944971831275317;2.5676289966922132;2.4970035707883964;0.23564795979320727;2.4925280238571466;-0.14672956282438071;0.22796423076507685;0.41026085143621965;-0.20627809068669239;-0.31534497986050902;0.26186808034442677;0.37166365169260601;-2.3488672076564647;1.8041224646614411;0.59920634920634908;0.16828724505898493;-0.18854007638078749;0.036571157553301314;-0.32871820847326544;0.23966285758190714,1.8682624693190255,,,,,,B,3,e37692350fa4ad4230e3336e,1,79a3672f5b2e02b1cc6b62e6,0,39e3bacf11776871a5ff8111,,,,,
centroid,full_sample,,,2021-01-01T00:00:00Z,B,0,39e3bacf11776871a5ff8111,2,9511ccf67a32c14786b9505f,184,0.22411693057247259,computed,full_sample_empirical_centroid_distance,-0.15463739807927224;-0.52558647823189764;-0.49979592111444587;-0.46276410703548704;-0.44454054150104255;0.049705233989352435;-0.022810446988170436;-0.21857055755520532;0.39899126776282129;-0.14065078219541288;-0.52252809705522751;0.27299688790522753;0.092059192064774392;-0.1362007168458777;-0.10469940773944972;0.20517464282132244;0.073935550192986366;-0.19268385426135207;-0.29467436642494732;0.28532608695652162;0.30515682251512088;-0.3161929677464741;0.012985561859699809;0.32930092546983891;0.44580428786352599,1.0304161295854228,,,,,,B,3,e37692350fa4ad4230e3336e,1,79a3672f5b2e02b1cc6b62e6,0,39e3bacf11776871a5ff8111,,,,,
centroid,full_sample,,,2021-01-01T00:00:00Z,B,1,b03e2a19935047396af5f0d5,0,17afd0fca04b61ad4cb40d66,299,0.36419001218026797,computed,full_sample_empirical_centroid_distance,-0.0074806294879499104;-0.0053799504103483982;0.0062922062277481318;-0.02931896214103932;-0.023342250468851501;-0.53015015537142729;-0.65007268578824406;-0.53875365339817372;-0.35044043257445945;-0.55346184407320742;-0.061558457098058017;-0.25022571502815966;-0.27745461795899506;0.16751374283106765;0.15491684875533757;-0.32329771009379354;-0.37924446283129704;0.380201351677524;-0.41955385024786263;-0.4197324414715719;0.049451241909237893;-0.016267566681228276;0.015478961991206842;0.37396334030203543;-0.30114644315315714,0.3113655067533127,,,,,,B,3,e37692350fa4ad4230e3336e,1,79a3672f5b2e02b1cc6b62e6,0,39e3bacf11776871a5ff8111,,,,,
centroid,full_sample,,,2021-01-01T00:00:00Z,B,2,dddf565fe433ec33a8d07106,3,bb123c373acaf6526349830a,203,0.24725943970767356,computed,full_sample_empirical_centroid_distance,0.24808524778688409;0.53579914334711531;0.6385793987015761;0.66013313390772521;0.67346705829589792;-0.10932288322371829;-0.18659270790589752;-0.2036433379556902;0.044797814210660744;-0.04935369474897737;0.59375496241608683;0.37551022248882832;0.51489762867042899;-0.17079363312027229;-0.20398734804103652;0.034105710785457925;0.070749848197869794;0.34630377284632585;0.35815954602450756;0.37561576354679793;0.42865470061280214;0.058026533410730538;-0.49743778677171652;0.24238537385070705;0.10208942702151655,0.92201569457018118,,,,,,B,3,e37692350fa4ad4230e3336e,1,79a3672f5b2e02b1cc6b62e6,0,39e3bacf11776871a5ff8111,,,,,
centroid,full_sample,,,2021-01-01T00:00:00Z,B,3,e37692350fa4ad4230e3336e,1,79a3672f5b2e02b1cc6b62e6,135,0.16443361753958588,computed,full_sample_empirical_centroid_distance,-0.05071116448408116;0.12869686948424564;0.09620422405567744;0.032432087064086464;-0.0034118706870152815;0.91514973245226194;0.90853411223206515;0.84948632121448364;0.23316179819975971;0.95569724186155958;-0.028721578671684393;0.46045528775961903;0.59738805288999541;-0.1600159299084026;-0.21850551950145358;0.079558800947854488;0.17897221962150961;-0.88419241624011102;0.82573750584411865;0.54259259259259252;0.38903509914679157;-0.25995131627221546;-0.14169538384667749;0.8260063175263328;0.37128685743009132,2.2760051902315195,,,,,,B,3,e37692350fa4ad4230e3336e,1,79a3672f5b2e02b1cc6b62e6,0,39e3bacf11776871a5ff8111,,,,,
ood,full_sample,,,2021-01-01T00:00:00Z,,0,39e3bacf11776871a5ff8111,,,,,,,,,24,409,0.058679706601466992,existing_primary_ood_row,frozen_component_chi_square_threshold,B,3,e37692350fa4ad4230e3336e,1,79a3672f5b2e02b1cc6b62e6,0,39e3bacf11776871a5ff8111,,,,,
ood,full_sample,,,2021-01-01T00:00:00Z,,1,b03e2a19935047396af5f0d5,,,,,,,,,16,524,0.030534351145038167,existing_primary_ood_row,frozen_component_chi_square_threshold,B,3,e37692350fa4ad4230e3336e,1,79a3672f5b2e02b1cc6b62e6,0,39e3bacf11776871a5ff8111,,,,,
