sample_scope,spacing_days,offset,half_label,primary_component_index,primary_component_fingerprint,half_component_index,half_component_fingerprint,feature_name,registry_family,rank,squared_distance,contribution_ratio,is_top_five
full_sample,,,A,0,39e3bacf11776871a5ff8111,3,a40802651dda625eef950cfd,volume_cv_3d,volume,1,0.11339568480953761,0.15103843379601234,true
full_sample,,,A,0,39e3bacf11776871a5ff8111,3,a40802651dda625eef950cfd,max_drawdown_3d,excursion,2,0.095566243956720573,0.12729034473608697,true
full_sample,,,A,0,39e3bacf11776871a5ff8111,3,a40802651dda625eef950cfd,rv_1d,volatility,3,0.092912184248541474,0.12375524529912184,true
full_sample,,,A,0,39e3bacf11776871a5ff8111,3,a40802651dda625eef950cfd,rv_3d,volatility,4,0.091076023354485613,0.12130955377125202,true
full_sample,,,A,0,39e3bacf11776871a5ff8111,3,a40802651dda625eef950cfd,range_ratio_3d,range,5,0.076967931370183734,0.10251814984139271,true
full_sample,,,A,0,39e3bacf11776871a5ff8111,3,a40802651dda625eef950cfd,rv_4h,volatility,6,0.067156571146964217,0.089449817620351008,false
full_sample,,,A,0,39e3bacf11776871a5ff8111,3,a40802651dda625eef950cfd,return_4h,returns,7,0.042127370409144327,0.056111941624840914,false
full_sample,,,A,0,39e3bacf11776871a5ff8111,3,a40802651dda625eef950cfd,mean_body_ratio_3d,structure,8,0.038035742472743862,0.050662059857047602,false
full_sample,,,A,0,39e3bacf11776871a5ff8111,3,a40802651dda625eef950cfd,return_2d,returns,9,0.036783033074653644,0.048993501959038614,false
full_sample,,,A,0,39e3bacf11776871a5ff8111,3,a40802651dda625eef950cfd,return_3d,returns,10,0.028329010617359169,0.037733088360666169,false
full_sample,,,A,0,39e3bacf11776871a5ff8111,3,a40802651dda625eef950cfd,mean_lower_wick_ratio_3d,structure,11,0.01354251153117427,0.018038073801208337,false
full_sample,,,A,0,39e3bacf11776871a5ff8111,3,a40802651dda625eef950cfd,return_1d,returns,12,0.011907180888189829,0.015859879988367399,false
full_sample,,,A,0,39e3bacf11776871a5ff8111,3,a40802651dda625eef950cfd,max_runup_3d,excursion,13,0.01162469645844715,0.01548362223295319,false
full_sample,,,A,0,39e3bacf11776871a5ff8111,3,a40802651dda625eef950cfd,mean_upper_wick_ratio_3d,structure,14,0.010818581387544355,0.014409909789900163,false
full_sample,,,A,0,39e3bacf11776871a5ff8111,3,a40802651dda625eef950cfd,close_location_3d,range,15,0.0038569506454578838,0.005137301174175545,false
full_sample,,,A,0,39e3bacf11776871a5ff8111,3,a40802651dda625eef950cfd,directional_efficiency_3d,path,16,0.0038320745806350066,0.0051041672689818313,false
full_sample,,,A,0,39e3bacf11776871a5ff8111,3,a40802651dda625eef950cfd,sign_change_rate_1d,reversal,17,0.0032690449652478595,0.0043542347523108501,false
full_sample,,,A,0,39e3bacf11776871a5ff8111,3,a40802651dda625eef950cfd,breakout_rate_3d,structure,18,0.0032314822618863346,0.004304202761284048,false
