half_label,primary_component_index,half_component_index,metric,distance
A,0,3,bhattacharyya,0.35741553493569606
A,0,3,diagonal_wasserstein_2,0.86192905324179547
A,0,3,euclidean,0.85298949009626301
A,0,3,symmetric_kl,1.4413340338778822
A,1,0,bhattacharyya,0.56255371025454437
A,1,0,diagonal_wasserstein_2,0.79929886212790846
A,1,0,euclidean,0.76030849398696576
A,1,0,symmetric_kl,2.3436682086798055
A,2,1,bhattacharyya,0.66842950940796309
A,2,1,diagonal_wasserstein_2,1.7544490363314797
A,2,1,euclidean,1.109216164946955
A,2,1,symmetric_kl,2.7927047848078144
A,3,2,bhattacharyya,0.34046223570998924
A,3,2,diagonal_wasserstein_2,4.1123641945843143
A,3,2,euclidean,1.9133522641135228
A,3,2,symmetric_kl,1.3792026338088621
B,0,2,bhattacharyya,0.74832503141250095
B,0,2,diagonal_wasserstein_2,1.2798626872326402
B,0,2,euclidean,1.0327644857936527
B,0,2,symmetric_kl,3.1984713398641538
B,1,0,bhattacharyya,0.11719518362115834
B,1,0,diagonal_wasserstein_2,0.13674748642468032
B,1,0,euclidean,0.31333104455106625
B,1,0,symmetric_kl,0.47616262423629391
B,2,3,bhattacharyya,0.65885007179511912
B,2,3,diagonal_wasserstein_2,1.0954622540967558
B,2,3,euclidean,0.92699977882823537
B,2,3,symmetric_kl,2.8480923278324921
B,3,1,bhattacharyya,1.0853748701477617
B,3,1,diagonal_wasserstein_2,7.9876905683930799
B,3,1,euclidean,2.3526219570607076
B,3,1,symmetric_kl,5.0143890687753832
